,Day,Plate,Well,Culture,Media,Growth Rate,Time to Max Growth,Saturation OD,Rsq
277,1,Plate 3,H2,339,TSB,1.258150922,3.333333333,1.315750134,0.992925482
278,1,Plate 3,H3,342,TSB,0.621723364,3.5,1.08599592,0.999517551
279,1,Plate 3,H4,343,TSB,0.490836888,9.333333333,1.047530486,0.998075197
280,1,Plate 3,H5,961,TSB,0,18.01666667,0.026813752,0
281,1,Plate 3,H6,344,TSB,0.668398371,5.166666667,0.946140829,0.999283607
282,1,Plate 3,H7,346,TSB,0.678465886,3.833333333,1.013563129,0.999412043
283,1,Plate 3,H8,347,TSB,0.634774036,6,1.022140701,0.998382668
284,1,Plate 3,H9,348,TSB,1.09207092,2.833333333,1.044405874,0.996983089
285,1,Plate 3,H10,963,TSB,0,18.01666667,0.024423578,0
286,1,Plate 3,H11,349,TSB,0.851021527,3.5,1.351977686,0.999862329
287,1,Plate 3,H12,350,TSB,0,18.01666667,0.025276377,0
288,1,Plate 4,A1,117,TSB,0.627831166,2.666666667,0.981987468,0.999396142
289,1,Plate 4,A2,904,TSB,0.512620046,5.166666667,0.891827103,0.999781419
290,1,Plate 4,A3,142,TSB,0.80432014,3.833333333,1.033281191,0.999453513
291,1,Plate 4,A4,159,TSB,0.842550781,3,0.943419211,0.996759264
292,1,Plate 4,A5,905,TSB,0.321127214,11.5,0.506009293,0.999492363
293,1,Plate 4,A6,234,TSB,1.263208035,3.833333333,1.054281015,0.997238752
294,1,Plate 4,A7,245,TSB,1.254369006,3,1.242315708,0.995033436
295,1,Plate 4,A8,254,TSB,1.258970415,2.666666667,1.213944144,0.996220781
296,1,Plate 4,A9,907,TSB,0,18.01666667,0.023140265,0
297,1,Plate 4,A10,255,TSB,0.753213079,3.666666667,0.967986566,0.997259353
298,1,Plate 4,A11,256,TSB,0.830040188,2.666666667,0.963142497,0.999806681
299,1,Plate 4,A12,908,TSB,0,18.01666667,0.019,0
300,1,Plate 4,B1,258,TSB,1.1442202,3.333333333,1.021855126,0.994714897
301,1,Plate 4,B2,229,TSB,1.125350366,5,0.887711756,0.998378677
302,1,Plate 4,B3,912,TSB,0.8741166,2,1.045136783,0.997851939
303,1,Plate 4,B4,233,TSB,1.017183155,4,1.073136137,0.997865871
304,1,Plate 4,B5,913,TSB,0.937652271,1.833333333,1.06785655,0.996075107
305,1,Plate 4,B6,259,TSB,0.522310831,4,0.883130954,0.999761096
306,1,Plate 4,B7,265,TSB,0,18.01666667,1.494062115,0
307,1,Plate 4,B8,266,TSB,1.278650664,3,1.032136162,0.992302998
308,1,Plate 4,B9,267,TSB,0.607464708,10.5,0.962030735,0.998321901
309,1,Plate 4,B10,269,TSB,0.730462228,4,1.003564906,0.99859594
310,1,Plate 4,B11,914,TSB,1.09284158,1.666666667,1.093845329,0.996062475
311,1,Plate 4,B12,270,TSB,0.776128869,4,1.267423513,0.998933823
312,1,Plate 4,C1,271,TSB,0.741894931,3,0.984422216,0.999092078
313,1,Plate 4,C2,915,TSB,1.071286677,1.833333333,1.084996444,0.997206028
314,1,Plate 4,C3,272,TSB,0.982152454,3.333333333,1.054422363,0.998298562
315,1,Plate 4,C4,916,TSB,0.857216079,1.833333333,1.002995583,0.997907233
316,1,Plate 4,C5,274,TSB,1.261275782,3,1.028711686,0.990803369
317,1,Plate 4,C6,277,TSB,0.835691,2.666666667,1.023283659,0.998706498
318,1,Plate 4,C7,278,TSB,0.619294844,2.833333333,1.119360765,0.998847791
319,1,Plate 4,C8,257,TSB,1.143856923,3.166666667,1.005285328,0.995061584
320,1,Plate 4,C9,279,TSB,0.521615295,4.333333333,1.034142522,0.999839813
321,1,Plate 4,C10,917,TSB,0.534393419,2.666666667,0.966697315,0.999207735
322,1,Plate 4,C11,923,TSB,0.680885239,5.833333333,0.982850544,0.999368418
323,1,Plate 4,C12,280,TSB,0.911707267,3,1.426856699,0.998601199
324,1,Plate 4,D1,286,TSB,0.734659232,2.833333333,1.413712193,0.996586827
325,1,Plate 4,D2,924,TSB,0.54948481,2.666666667,1.085992367,0.997237855
326,1,Plate 4,D3,925,TSB,0.788600883,3.166666667,1.113851829,0.997550551
327,1,Plate 4,D4,928,TSB,1.237052494,2.5,1.325074603,0.997319767
328,1,Plate 4,D5,293,TSB,1.458449277,2.666666667,1.064745727,0.990057767
329,1,Plate 4,D6,929,TSB,0.79939821,2.333333333,1.124200497,0.996427423
